job_id,title,company_name,location,description,max_salary,formatted_experience_level,work_type,remote_allowed,original_listed_time
sample_00010,BI Developer,Infosys,"Delhi, Delhi","We are looking for a BI Developer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",25-40 LPA,Entry level,CONTRACT,0,2026-04-27
sample_00011,Senior Data Analyst,TCS,"Pune, Maharashtra","We need a Senior Data Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",8-14 LPA,Director,FULL_TIME,1,2026-02-16
sample_00012,Data Analyst,Flipkart,"Hyderabad, Telangana","We are looking for a Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",5-8 LPA,Entry level,PART_TIME,0,2026-05-22
sample_00013,BI Developer,Flipkart,"Pune, Maharashtra","Exciting BI Developer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",12-20 LPA,Entry level,PART_TIME,1,2026-05-29
sample_00014,Data Scientist,Flipkart,"Delhi, Delhi","Seeking a Data Scientist skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",18-28 LPA,Senior,PART_TIME,1,2026-05-19
sample_00015,Product Analyst,PhonePe,"Chennai, Tamil Nadu","We need a Product Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",6-10 LPA,Senior,FULL_TIME,1,2026-05-30
sample_00016,Data Scientist,Wipro,"Pune, Maharashtra","Join our analytics team as a Data Scientist. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",8-14 LPA,Entry level,CONTRACT,1,2026-03-20
sample_00017,Senior Data Analyst,Swiggy,"Chennai, Tamil Nadu","We are looking for a Senior Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",12-20 LPA,Mid-Senior level,PART_TIME,1,2026-04-29
sample_00018,BI Developer,PhonePe,"Noida, Uttar Pradesh","Seeking a BI Developer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",10-18 LPA,Senior,FULL_TIME,1,2026-03-04
sample_00019,Business Analyst,Zepto,"Mumbai, Maharashtra","Seeking a Business Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",25-40 LPA,Senior,CONTRACT,1,2026-02-05
sample_00020,Analytics Engineer,Infosys,"Mumbai, Maharashtra","Join our analytics team as a Analytics Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",18-28 LPA,Mid-Senior level,CONTRACT,1,2026-04-09
sample_00021,Senior Data Analyst,PhonePe,"Pune, Maharashtra","We are looking for a Senior Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",10-18 LPA,Mid-Senior level,PART_TIME,0,2026-01-11
sample_00022,Data Engineer,Swiggy,"Hyderabad, Telangana","We need a Data Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",6-10 LPA,Director,CONTRACT,0,2026-03-11
sample_00023,Product Analyst,Swiggy,"Delhi, Delhi","Seeking a Product Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",18-28 LPA,Entry level,PART_TIME,1,2026-05-12
sample_00024,BI Developer,Swiggy,"Pune, Maharashtra","We are looking for a BI Developer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",25-40 LPA,Director,CONTRACT,0,2026-02-12
sample_00025,Senior Data Analyst,Accenture,"Chennai, Tamil Nadu","Seeking a Senior Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",8-14 LPA,Mid-Senior level,CONTRACT,1,2026-06-13
sample_00026,Business Analyst,Flipkart,"Chennai, Tamil Nadu","We are looking for a Business Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",5-8 LPA,Director,FULL_TIME,0,2026-02-10
sample_00027,ML Engineer,Swiggy,"Hyderabad, Telangana","Exciting ML Engineer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",12-20 LPA,Entry level,FULL_TIME,1,2026-04-10
sample_00028,Data Analyst,Razorpay,"Bengaluru, Karnataka","Exciting Data Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",12-20 LPA,Director,PART_TIME,0,2026-04-21
sample_00029,Data Engineer,TCS,"Delhi, Delhi","We are looking for a Data Engineer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",12-20 LPA,Entry level,PART_TIME,1,2026-02-21
sample_00030,Senior Data Analyst,Wipro,"Bengaluru, Karnataka","We are looking for a Senior Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",10-18 LPA,Senior,FULL_TIME,0,2026-06-10
sample_00031,Data Scientist,Wipro,"Gurugram, Haryana","Seeking a Data Scientist skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",25-40 LPA,Senior,CONTRACT,0,2026-01-10
sample_00032,BI Developer,Zepto,"Delhi, Delhi","Join our analytics team as a BI Developer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",6-10 LPA,Mid-Senior level,CONTRACT,0,2026-04-30
sample_00033,Product Analyst,PhonePe,"Delhi, Delhi","We need a Product Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",5-8 LPA,Director,CONTRACT,0,2026-05-21
sample_00034,Data Engineer,Razorpay,"Gurugram, Haryana","Join our analytics team as a Data Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",6-10 LPA,Entry level,CONTRACT,1,2026-04-29
sample_00035,Product Analyst,Zepto,"Chennai, Tamil Nadu","Exciting Product Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",12-20 LPA,Director,FULL_TIME,0,2026-04-29
sample_00036,Analytics Engineer,TCS,"Pune, Maharashtra","Join our analytics team as a Analytics Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",18-28 LPA,Senior,PART_TIME,1,2026-01-27
sample_00037,Senior Data Analyst,Swiggy,"Gurugram, Haryana","We are looking for a Senior Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",6-10 LPA,Entry level,CONTRACT,1,2026-01-26
sample_00038,Product Analyst,Razorpay,"Bengaluru, Karnataka","Join our analytics team as a Product Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",18-28 LPA,Senior,FULL_TIME,1,2026-02-14
sample_00039,Senior Data Analyst,Flipkart,"Gurugram, Haryana","Seeking a Senior Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",25-40 LPA,Senior,FULL_TIME,0,2026-04-12
sample_00040,Product Analyst,PhonePe,"Pune, Maharashtra","We need a Product Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",5-8 LPA,Mid-Senior level,PART_TIME,1,2026-05-12
sample_00041,Data Scientist,Swiggy,"Delhi, Delhi","Exciting Data Scientist role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",6-10 LPA,Senior,PART_TIME,0,2025-12-31
sample_00042,Analytics Engineer,Meesho,"Gurugram, Haryana","We are looking for a Analytics Engineer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",5-8 LPA,Senior,PART_TIME,0,2026-01-16
sample_00043,Analytics Engineer,Razorpay,"Bengaluru, Karnataka","We need a Analytics Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",25-40 LPA,Mid-Senior level,PART_TIME,1,2025-12-17
sample_00044,ML Engineer,Swiggy,"Hyderabad, Telangana","Seeking a ML Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",25-40 LPA,Mid-Senior level,PART_TIME,1,2026-05-02
sample_00045,Data Engineer,Swiggy,"Noida, Uttar Pradesh","Exciting Data Engineer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",18-28 LPA,Senior,FULL_TIME,1,2026-01-14
sample_00046,Product Analyst,TCS,"Delhi, Delhi","We need a Product Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",10-18 LPA,Entry level,CONTRACT,1,2025-12-23
sample_00047,Data Engineer,Razorpay,"Hyderabad, Telangana","We need a Data Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",6-10 LPA,Entry level,PART_TIME,0,2026-01-19
sample_00048,Analytics Engineer,PhonePe,"Mumbai, Maharashtra","We need a Analytics Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",25-40 LPA,Mid-Senior level,FULL_TIME,0,2026-02-18
sample_00049,ML Engineer,Zepto,"Gurugram, Haryana","Join our analytics team as a ML Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",10-18 LPA,Senior,CONTRACT,1,2026-04-03
sample_00050,Senior Data Analyst,Meesho,"Noida, Uttar Pradesh","We are looking for a Senior Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",18-28 LPA,Entry level,FULL_TIME,1,2026-05-30
sample_00051,Data Scientist,Swiggy,"Mumbai, Maharashtra","We are looking for a Data Scientist with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",25-40 LPA,Director,PART_TIME,1,2026-02-11
sample_00052,BI Developer,Accenture,"Gurugram, Haryana","We are looking for a BI Developer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",6-10 LPA,Senior,PART_TIME,1,2026-03-22
sample_00053,Analytics Engineer,PhonePe,"Mumbai, Maharashtra","Seeking a Analytics Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",18-28 LPA,Entry level,PART_TIME,1,2026-04-02
sample_00054,Senior Data Analyst,Infosys,"Bengaluru, Karnataka","We need a Senior Data Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",8-14 LPA,Director,CONTRACT,1,2026-02-15
sample_00055,ML Engineer,Zepto,"Gurugram, Haryana","Seeking a ML Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",6-10 LPA,Senior,CONTRACT,1,2026-03-28
sample_00056,Product Analyst,Accenture,"Noida, Uttar Pradesh","Join our analytics team as a Product Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",18-28 LPA,Mid-Senior level,CONTRACT,1,2026-04-06
sample_00057,ML Engineer,TCS,"Gurugram, Haryana","Join our analytics team as a ML Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",18-28 LPA,Director,PART_TIME,0,2026-04-14
sample_00058,Analytics Engineer,PhonePe,"Pune, Maharashtra","Join our analytics team as a Analytics Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",25-40 LPA,Senior,PART_TIME,1,2026-04-07
sample_00059,Analytics Engineer,TCS,"Delhi, Delhi","We are looking for a Analytics Engineer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",6-10 LPA,Mid-Senior level,FULL_TIME,1,2026-01-12
sample_00060,Data Analyst,Wipro,"Bengaluru, Karnataka","Seeking a Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",6-10 LPA,Senior,FULL_TIME,0,2026-03-21
sample_00061,Analytics Engineer,Razorpay,"Hyderabad, Telangana","We need a Analytics Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",12-20 LPA,Mid-Senior level,FULL_TIME,0,2025-12-15
sample_00062,ML Engineer,Razorpay,"Gurugram, Haryana","Exciting ML Engineer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",10-18 LPA,Director,FULL_TIME,0,2026-01-18
sample_00063,Analytics Engineer,Accenture,"Pune, Maharashtra","We are looking for a Analytics Engineer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",25-40 LPA,Senior,PART_TIME,0,2026-03-28
sample_00064,Business Analyst,Swiggy,"Noida, Uttar Pradesh","Join our analytics team as a Business Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",8-14 LPA,Entry level,PART_TIME,1,2026-06-01
sample_00065,Business Analyst,Zepto,"Gurugram, Haryana","Exciting Business Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",10-18 LPA,Senior,CONTRACT,0,2026-05-20
sample_00066,BI Developer,Meesho,"Noida, Uttar Pradesh","Exciting BI Developer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",5-8 LPA,Mid-Senior level,PART_TIME,0,2026-06-07
sample_00067,Analytics Engineer,Zepto,"Mumbai, Maharashtra","Exciting Analytics Engineer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",18-28 LPA,Mid-Senior level,FULL_TIME,0,2026-04-25
sample_00068,Analytics Engineer,Wipro,"Mumbai, Maharashtra","Join our analytics team as a Analytics Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",25-40 LPA,Mid-Senior level,FULL_TIME,0,2026-05-31
sample_00069,BI Developer,PhonePe,"Hyderabad, Telangana","We need a BI Developer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",12-20 LPA,Mid-Senior level,CONTRACT,1,2026-02-27
sample_00070,Data Engineer,Meesho,"Hyderabad, Telangana","We are looking for a Data Engineer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",18-28 LPA,Mid-Senior level,FULL_TIME,1,2026-03-22
sample_00071,Senior Data Analyst,Zepto,"Mumbai, Maharashtra","Join our analytics team as a Senior Data Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",5-8 LPA,Entry level,PART_TIME,0,2026-03-29
sample_00072,Analytics Engineer,PhonePe,"Noida, Uttar Pradesh","We need a Analytics Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",6-10 LPA,Mid-Senior level,FULL_TIME,1,2026-03-24
sample_00073,Product Analyst,Zepto,"Chennai, Tamil Nadu","Join our analytics team as a Product Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",25-40 LPA,Entry level,FULL_TIME,1,2026-06-06
sample_00074,Data Scientist,Zepto,"Gurugram, Haryana","Seeking a Data Scientist skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",6-10 LPA,Director,FULL_TIME,1,2026-04-06
sample_00075,Analytics Engineer,TCS,"Pune, Maharashtra","Exciting Analytics Engineer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",18-28 LPA,Mid-Senior level,FULL_TIME,0,2026-05-27
sample_00076,Data Scientist,Wipro,"Hyderabad, Telangana","Exciting Data Scientist role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",8-14 LPA,Senior,CONTRACT,0,2026-02-27
sample_00077,Analytics Engineer,Meesho,"Bengaluru, Karnataka","Seeking a Analytics Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",18-28 LPA,Mid-Senior level,PART_TIME,1,2026-04-14
sample_00078,Data Scientist,Meesho,"Pune, Maharashtra","We are looking for a Data Scientist with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",6-10 LPA,Mid-Senior level,CONTRACT,0,2026-04-11
sample_00079,BI Developer,PhonePe,"Bengaluru, Karnataka","Exciting BI Developer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",6-10 LPA,Senior,PART_TIME,1,2026-04-26
sample_00080,Product Analyst,Swiggy,"Hyderabad, Telangana","Seeking a Product Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",6-10 LPA,Director,FULL_TIME,0,2026-03-01
sample_00081,Senior Data Analyst,TCS,"Noida, Uttar Pradesh","Exciting Senior Data Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",5-8 LPA,Mid-Senior level,CONTRACT,1,2025-12-17
sample_00082,Data Analyst,Infosys,"Mumbai, Maharashtra","Exciting Data Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",8-14 LPA,Director,FULL_TIME,1,2026-05-28
sample_00083,Data Scientist,Wipro,"Chennai, Tamil Nadu","Seeking a Data Scientist skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",5-8 LPA,Senior,FULL_TIME,1,2026-05-29
sample_00084,BI Developer,TCS,"Noida, Uttar Pradesh","Exciting BI Developer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",18-28 LPA,Senior,CONTRACT,1,2026-02-22
sample_00085,Data Scientist,PhonePe,"Chennai, Tamil Nadu","We need a Data Scientist proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",6-10 LPA,Senior,FULL_TIME,0,2026-02-11
sample_00086,Data Engineer,Swiggy,"Bengaluru, Karnataka","Seeking a Data Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",6-10 LPA,Senior,FULL_TIME,1,2026-03-10
sample_00087,Analytics Engineer,Flipkart,"Bengaluru, Karnataka","We need a Analytics Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",6-10 LPA,Mid-Senior level,CONTRACT,0,2026-05-21
sample_00088,Data Analyst,Swiggy,"Noida, Uttar Pradesh","Seeking a Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",12-20 LPA,Director,CONTRACT,0,2025-12-21
sample_00089,Senior Data Analyst,Razorpay,"Mumbai, Maharashtra","We need a Senior Data Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",6-10 LPA,Entry level,CONTRACT,0,2026-06-11
sample_00090,Data Analyst,Swiggy,"Bengaluru, Karnataka","Join our analytics team as a Data Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",8-14 LPA,Entry level,CONTRACT,1,2026-03-08
sample_00091,BI Developer,Swiggy,"Noida, Uttar Pradesh","Join our analytics team as a BI Developer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",12-20 LPA,Senior,CONTRACT,0,2026-03-17
sample_00092,Data Analyst,Swiggy,"Bengaluru, Karnataka","Seeking a Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",5-8 LPA,Senior,FULL_TIME,1,2025-12-23
sample_00093,Data Scientist,Accenture,"Chennai, Tamil Nadu","Seeking a Data Scientist skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",18-28 LPA,Mid-Senior level,FULL_TIME,0,2026-04-08
sample_00094,Data Analyst,PhonePe,"Chennai, Tamil Nadu","We are looking for a Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",6-10 LPA,Mid-Senior level,CONTRACT,1,2026-02-10
sample_00095,Product Analyst,TCS,"Hyderabad, Telangana","Join our analytics team as a Product Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",6-10 LPA,Mid-Senior level,CONTRACT,1,2025-12-27
sample_00096,Data Engineer,Zepto,"Noida, Uttar Pradesh","Seeking a Data Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",10-18 LPA,Director,CONTRACT,0,2026-05-18
sample_00097,Data Analyst,Zepto,"Pune, Maharashtra","Join our analytics team as a Data Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",5-8 LPA,Entry level,FULL_TIME,1,2025-12-15
sample_00098,Data Scientist,Infosys,"Bengaluru, Karnataka","We need a Data Scientist proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",8-14 LPA,Mid-Senior level,CONTRACT,0,2026-06-04
sample_00099,BI Developer,PhonePe,"Pune, Maharashtra","We need a BI Developer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",8-14 LPA,Senior,PART_TIME,1,2026-03-25
sample_00100,Product Analyst,Accenture,"Pune, Maharashtra","Join our analytics team as a Product Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",8-14 LPA,Senior,PART_TIME,1,2026-01-18
sample_00101,Product Analyst,Razorpay,"Mumbai, Maharashtra","Join our analytics team as a Product Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",6-10 LPA,Senior,FULL_TIME,1,2026-04-21
sample_00102,ML Engineer,Swiggy,"Pune, Maharashtra","We need a ML Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",12-20 LPA,Mid-Senior level,PART_TIME,0,2026-06-06
sample_00103,Data Analyst,Swiggy,"Hyderabad, Telangana","Join our analytics team as a Data Analyst. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",10-18 LPA,Senior,PART_TIME,0,2026-05-28
sample_00104,BI Developer,Flipkart,"Chennai, Tamil Nadu","Join our analytics team as a BI Developer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",18-28 LPA,Mid-Senior level,CONTRACT,1,2026-01-10
sample_00105,Data Engineer,Accenture,"Mumbai, Maharashtra","Seeking a Data Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",12-20 LPA,Director,FULL_TIME,1,2026-03-10
sample_00106,Product Analyst,Razorpay,"Mumbai, Maharashtra","We are looking for a Product Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",12-20 LPA,Director,FULL_TIME,0,2026-03-07
sample_00107,Data Engineer,Flipkart,"Bengaluru, Karnataka","We are looking for a Data Engineer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",10-18 LPA,Senior,CONTRACT,1,2026-01-24
sample_00108,BI Developer,Flipkart,"Bengaluru, Karnataka","Exciting BI Developer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",25-40 LPA,Senior,FULL_TIME,0,2026-03-04
sample_00109,BI Developer,Flipkart,"Hyderabad, Telangana","We need a BI Developer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",6-10 LPA,Entry level,CONTRACT,1,2026-02-16
sample_00110,Senior Data Analyst,Zepto,"Pune, Maharashtra","Exciting Senior Data Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",10-18 LPA,Senior,PART_TIME,0,2026-04-24
sample_00111,Senior Data Analyst,Infosys,"Gurugram, Haryana","We need a Senior Data Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",18-28 LPA,Entry level,FULL_TIME,1,2026-01-14
sample_00112,BI Developer,Infosys,"Hyderabad, Telangana","Join our analytics team as a BI Developer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",10-18 LPA,Entry level,CONTRACT,0,2026-02-10
sample_00113,Data Analyst,TCS,"Chennai, Tamil Nadu","Exciting Data Analyst role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",10-18 LPA,Mid-Senior level,CONTRACT,0,2026-06-04
sample_00114,Data Engineer,Zepto,"Chennai, Tamil Nadu","Exciting Data Engineer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",6-10 LPA,Director,FULL_TIME,1,2026-02-04
sample_00115,Product Analyst,Meesho,"Chennai, Tamil Nadu","We are looking for a Product Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",25-40 LPA,Mid-Senior level,FULL_TIME,1,2026-01-05
sample_00116,Data Analyst,Zepto,"Hyderabad, Telangana","Seeking a Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",12-20 LPA,Entry level,FULL_TIME,1,2026-04-06
sample_00117,Business Analyst,Meesho,"Hyderabad, Telangana","Seeking a Business Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",10-18 LPA,Mid-Senior level,CONTRACT,1,2026-02-09
sample_00118,ML Engineer,PhonePe,"Gurugram, Haryana","We are looking for a ML Engineer with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",10-18 LPA,Senior,CONTRACT,0,2025-12-26
sample_00119,Business Analyst,Accenture,"Hyderabad, Telangana","We need a Business Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",8-14 LPA,Senior,FULL_TIME,1,2026-01-11
sample_00120,BI Developer,Flipkart,"Chennai, Tamil Nadu","Join our analytics team as a BI Developer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",8-14 LPA,Senior,FULL_TIME,1,2026-02-18
